section,bucket,group_A,group_B
Celosia,174,56,80
Celosia,175,103,50
Celosia,176,45,50
Celosia,177,274,160
Celosia,178,139,130
Celosia,179,28,100
Celosia,180,1026,1590
Celosia,181,723,40
Celosia,182,268,390
Celosia,183,376,560
Celosia,184,41,100
Celosia,185,131,70
Celosia,186,261,440
Celosia,187,835,970
Celosia,188,129,70
Celosia,189,45,50
Celosia,190,97,110
Celosia,191,66,70
Celosia,192,80,40
Celosia,193,37,60
Celosia,194,40,30
Celosia,195,70,130
Celosia,196,295,520
Celosia,197,496,180
Celosia,198,146,140
Celosia,199,40,130
Celosia,200,13249,13550
Xylobium,0,0,0
Xylobium,1,29763,40230
Xylobium,2,106659,218920
Xylobium,3,159723,317760
Xylobium,4,187328,417270
Xylobium,5,266619,280220
Xylobium,6,421171,301780
Xylobium,7,587775,433710
Xylobium,8,638072,479600
Xylobium,9,783458,655300
Xylobium,10,658582,757490
Xylobium,11,643434,489260
Xylobium,12,536397,485780
Xylobium,13,411033,371990
Xylobium,14,472055,342470
Xylobium,15,332589,311330
Xylobium,16,229815,241300
Xylobium,17,238273,225220
Xylobium,18,286182,373600
Xylobium,19,327106,466010
Xylobium,20,408389,223690
Xylobium,21,313066,284570
Xylobium,22,215606,223810
Xylobium,23,241218,243320
Xylobium,24,235285,155100
Xylobium,25,274473,265380
Xylobium,26,240835,260810
Xylobium,27,255870,231920
Xylobium,28,255098,268140
Xylobium,29,222119,182380
Xylobium,30,198629,158220
Xylobium,31,161872,150030
Xylobium,32,144274,137270
Xylobium,33,138449,132170
Xylobium,34,99959,107110
Xylobium,35,80243,116750
Xylobium,36,104481,195470
Xylobium,37,93312,156340
Xylobium,38,118547,122680
Xylobium,39,127942,71300
Xylobium,40,115002,102060
Xylobium,41,94510,90670
Xylobium,42,61203,91940
Xylobium,43,55389,62190
Xylobium,44,86405,77140
Xylobium,45,161031,149000
Xylobium,46,146012,131090
Xylobium,47,76444,78140
Xylobium,48,50086,54330
Xylobium,49,54400,70700
Xylobium,50,78251,66010
Xylobium,51,72317,55540
Xylobium,52,43756,57120
Xylobium,53,52979,41460
Xylobium,54,83471,98690
Xylobium,55,64024,91680
Xylobium,56,65860,63220
Xylobium,57,95522,52550
Xylobium,58,67073,30760
Xylobium,59,39062,33020
Xylobium,60,32214,39460
Xylobium,61,27235,17170
Xylobium,62,24662,17810
Xylobium,63,26585,32120
Xylobium,64,33652,50810
Xylobium,65,46002,49970
Xylobium,66,37338,58930
Xylobium,67,32744,26400
Xylobium,68,33873,25660
Xylobium,69,31494,27770
Xylobium,70,29770,21080
Xylobium,71,31070,19170
Xylobium,72,31715,42070
Xylobium,73,30115,56020
Xylobium,74,29172,28180
Xylobium,75,23355,15440
Xylobium,76,18761,18160
Xylobium,77,17248,13500
Xylobium,78,14378,10030
Xylobium,79,12591,11130
Xylobium,80,14865,17990
Xylobium,81,16601,32310
Xylobium,82,16463,21590
Xylobium,83,17183,18290
Xylobium,84,12719,12910
Xylobium,85,13195,16100
Xylobium,86,15571,14130
Xylobium,87,16336,11690
Xylobium,88,14776,9890
Xylobium,89,15914,12490
Xylobium,90,33408,38260
Xylobium,91,30330,36670
Xylobium,92,26271,24900
Xylobium,93,28047,10620
Xylobium,94,25269,8230
Xylobium,95,15519,8030
Xylobium,96,8852,8970
Xylobium,97,6889,7620
Xylobium,98,5390,8200
Xylobium,99,7330,15530
Xylobium,100,7359,12730
Xylobium,101,5150,9870
Xylobium,102,5612,10150
Xylobium,103,6158,5080
Xylobium,104,6662,6180
Xylobium,105,7525,7550
Xylobium,106,9640,5390
Xylobium,107,9587,5720
Xylobium,108,8962,12040
Xylobium,109,12417,12590
Xylobium,110,12804,19640
Xylobium,111,8039,11290
Xylobium,112,9160,7790
Xylobium,113,14738,11190
Xylobium,114,16519,9030
Xylobium,115,16076,10030
Xylobium,116,12957,7400
Xylobium,117,6373,8690
Xylobium,118,4530,8160
Xylobium,119,5886,3890
Xylobium,120,7612,15420
Xylobium,121,4791,6670
Xylobium,122,5354,4280
Xylobium,123,8830,5490
Xylobium,124,7318,5470
Xylobium,125,5366,5920
Xylobium,126,4690,4280
Xylobium,127,5754,4350
Xylobium,128,5535,5940
Xylobium,129,4120,5250
Xylobium,130,5561,6370
Xylobium,131,5914,7120
Xylobium,132,4892,5690
Xylobium,133,3751,3730
Xylobium,134,4133,5760
Xylobium,135,5336,9300
Xylobium,136,3327,2520
Xylobium,137,4964,4950
Xylobium,138,5892,5380
Xylobium,139,7378,13460
Xylobium,140,10145,6960
Xylobium,141,7654,3340
Xylobium,142,5855,4340
Xylobium,143,7799,4430
Xylobium,144,10162,7130
Xylobium,145,14004,11830
Xylobium,146,16053,20170
Xylobium,147,4404,5390
Xylobium,148,4337,4030
Xylobium,149,7918,2730
Xylobium,150,4439,4180
Xylobium,151,1757,3240
Xylobium,152,2095,3100
Xylobium,153,2217,2410
Xylobium,154,1865,1940
Xylobium,155,1720,2680
Xylobium,156,1847,2330
Xylobium,157,2379,3700
Xylobium,158,2395,2670
Xylobium,159,2428,1870
Xylobium,160,2776,2370
Xylobium,161,2890,1500
Xylobium,162,3671,2390
Xylobium,163,2156,3810
Xylobium,164,4385,5830
Xylobium,165,2264,2060
Xylobium,166,1299,1660
Xylobium,167,1533,1700
Xylobium,168,2004,3050
Xylobium,169,2632,4280
Xylobium,170,3399,2100
Xylobium,171,2762,1340
Xylobium,172,1642,2460
Xylobium,173,1092,1340
Xylobium,174,952,1480
Xylobium,175,987,1090
Xylobium,176,1335,1130
Xylobium,177,1875,1380
Xylobium,178,2239,1320
Xylobium,179,5073,4700
Xylobium,180,9728,11400
Xylobium,181,10749,7110
Xylobium,182,4695,4930
Xylobium,183,5711,4490
Xylobium,184,4862,2460
Xylobium,185,6331,2840
Xylobium,186,7481,8930
Xylobium,187,5848,12230
Xylobium,188,2718,2020
Xylobium,189,1387,1670
Xylobium,190,1150,1910
Xylobium,191,1023,1550
Xylobium,192,1098,1070
Xylobium,193,1063,880
Xylobium,194,1162,900
Xylobium,195,2460,1440
Xylobium,196,4400,6190
Xylobium,197,5066,4380
Xylobium,198,3319,2100
Xylobium,199,4323,3920
Xylobium,200,207559,204920
Jaborosa,0,0,0
Jaborosa,1,23102,1780
Jaborosa,2,83293,324600
Jaborosa,3,138886,196360
Jaborosa,4,171860,464200
Jaborosa,5,260188,240870
Jaborosa,6,422080,154990
Jaborosa,7,572556,669570
Jaborosa,8,612653,374290
Jaborosa,9,697589,399240
Jaborosa,10,654130,704350
Jaborosa,11,583791,722800
Jaborosa,12,511218,338020
Jaborosa,13,456866,278100
Jaborosa,14,553193,424100
Jaborosa,15,287572,272950
Jaborosa,16,214039,388140
Jaborosa,17,220897,216290
Jaborosa,18,345391,469480
Jaborosa,19,457518,377390
Jaborosa,20,339678,186380
Jaborosa,21,210148,295380
Jaborosa,22,171122,183300
Jaborosa,23,172786,255540
Jaborosa,24,252075,134560
Jaborosa,25,331692,252170
Jaborosa,26,247578,183940
Jaborosa,27,217107,207020
Jaborosa,28,248545,326550
Jaborosa,29,195248,223390
Jaborosa,30,161705,125760
Jaborosa,31,144222,111180
Jaborosa,32,155428,156290
Jaborosa,33,115146,98100
Jaborosa,34,88628,147290
Jaborosa,35,67106,88450
